name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
Claude Dauphin,1993,commodity trading,new,Europe,1.2,Mining and metals,angel,0,0,,
Clement Fayat,1957,construction,new,Europe,1.4,Constrution,angel,0,0,,
"Clemmie Spangler, Jr.",1991,banking,new,North America,2.3,Diversified financial,angel,0,0,,
Clive Calder,1975,music,new,Europe,2.5,Media,angel,0,0,,
Craig McCaw,1987,cell phones,new,North America,1.8,Media,angel,0,0,,
Cristina Green,1903,fashion retail,aquired,Europe,2.6,"Retail, Restaurant",angel,0,0,,
Curt Engelhorn,1865,pharmaceuticals,new,Europe,4,Technology-Medical,angel,0,0,,
Cyrus Poonawalla,1966,biotech,new,South Asia,4.9,Technology-Medical,angel,0,0,,
D. Leopoldo Del Pino y Calvo-Sotelo,1952,construction,new,Europe,1.6,Constrution,angel,0,0,,
Dagmar Dolby,1965,video technology,new,North America,2.7,Technology-Computer,angel,0,0,,
Daisy Igel,1930,"gas, petrochemicals",new,Latin America,1.2,Energy,angel,0,0,,
Dan Friedkin,1969,automobiles,new,North America,2.5,"Retail, Restaurant",angel,0,0,,
Dan Gertler,1996,mining,new,Middle East/North Africa,2.5,Mining and metals,angel,0,0,,
Dan Olsson,1939,shipping,new,Europe,4.3,Diversified financial,angel,0,0,,
Dan Snyder,1988,advertising,new,North America,1.2,Other,angel,0,0,,
Dan Wilks,2002,natural gas,new,North America,1.5,Energy,angel,0,0,,
Daniel D'Aniello,1987,private equity,new,North America,3.1,Private equity/leveraged buyout,angel,0,0,,
Daniel Gilbert,1985,real estate,new,North America,3.7,Money Management,angel,0,0,,
"Daniel Harrison, III.",1921,oil and gas,new,North America,1.3,Energy,angel,0,0,,
Daniel Hirschfeld,1948,apparel,new,North America,1.1,0,angel,0,0,,
