name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
Alexander Nesis,1991,private equity,new,Europe,3,Mining and metals,angel,,,,
Alexander Ponomarenko,1957,port,privatization,Europe,2.3,Real Estate,angel,,,,
Alexander Putilov,1991,oil,subsidiary,Europe,1.2,Energy,angel,,,,
Alexander Rovt,1987,fertilizers,aquired,North America,1.1,Consumer,angel,,,,
Alexander Skorobogatko,1958,port,privatization,Europe,2.3,Real Estate,angel,,,,
Alexander Spanos,1960,real estate,new,North America,1.1,Real Estate,angel,,,,
Alexander Svetakov,1993,"banking, real estate",new,Europe,3.1,Money Management,angel,,,,
Alexander Vik,1980,investment,aquired,Europe,1,Diversified financial,angel,,,,
Alexandra Schorghuber,1954,real estate,new,Europe,2.8,Real Estate,angel,,,,
Alexandre Grendene Bartelle,1971,shoes,new,Latin America,1.5,Consumer,angel,,,,
Alexandre Soares dos Santos,1792,groceries,new,Europe,2.8,"Retail, Restaurant",angel,,,,
Alexei Ananyev,1992,technology,new,Europe,2,Money Management,angel,,,,
Alexei Bogachev,1994,retail,new,Europe,1.2,"Retail, Restaurant",angel,,,,
Alexei Kuzmichev,1989,investment banking,new,Europe,8.8,Energy,angel,,,,
Alexei Mordashov,1993,mining,privatization,Europe,10.5,Non-consumer industrial,angel,,,,
Alexei Semin,1991,real estate,new,Europe,1.2,Real Estate,angel,,,,
Alfred James Clark,1906,construction,aquired,North America,1.6,Constrution,angel,,,,
Alfred Mann,1956,software,new,North America,1.1,Technology-Medical,angel,,,,
Alfred Oetker,1891,retail,new,Europe,1.7,Consumer,angel,,,,
Alfred Taubman,1950,real estate (shopping malls),new,North America,2.8,Real Estate,angel,,,,
Alfredo Egydio Arruda Villela Filho,1966,banking,new,Latin America,1.2,Money Management,angel,,,,
Alfredo Harp Helu,1884,banking,aquired,Latin America,1.5,Money Management,angel,,,,
Ali Ibrahim Agaoglu,1981,construction,new,Middle East/North Africa,1.6,Constrution,angel,,,,
Alice Walton,1962,retail, new,North America,34.3,"Retail, Restaurant",angel,,,,
Alicia Koplowitz,1952,construction,aquired,Europe,2.1,Constrution,angel,,,,
Alijan Ibragimov,1994,metals,new,South Asia,1.7,Mining and metals,angel,,,,
Aliko Dangote,1981,"commodities (sugar, cement flour)",new,Sub-Saharan Africa,25,Constrution,angel,,,,
Alisher Usmanov,1999,metals,new,Europe,18.6,Non-consumer industrial,angel,,,,
Allan Slaight,1971,broadcasting,aquired,North America,1.3,Media,angel,,,,
Allan Wong,1976,electronics,new,East Asia,1.3,Technology-Computer,angel,,,,
Aloke Lohia,1988,polymers,new,East Asia,1.1,Non-consumer industrial,angel,,,,
Aloys Wobben,1984,wind energy,new,Europe,3.7,Energy,angel,,,,
Aloysio de Andrade Faria,1925,banking,new,Latin America,3.3,Money Management,angel,,,,
Alvaro Saieh Bendeck,1871,banking,new,Latin America,1.9,Money Management,angel,,,,
Amancio Ortega,1975,Fashion,new,Europe,64,"Retail, Restaurant",angel,,,,
Americo Amorim,1870,cork,new,Europe,5.3,Energy,angel,,,,
"Amos Hostetter, Jr.",1964,media,new,North America,3,Media,angel,,,,
An Kang,1992,pharmaceuticals,new,East Asia,1,Technology-Medical,angel,,,,
Ana Lucia de Mattos Barretto Villela,1966,banking,new,Latin America,1.1,Money Management,angel,,,,
Ana Maria Brescia Cafferata,1889,"mining, banking",new,Latin America,1.6,Mining and metals,angel,,,,
Ana Maria Marcondes Penido Sant'Anna,1945,toll roads,new,Latin America,1.6,Other,angel,,,,
Ananda Krishnan,1984,real estate,new,East Asia,11.3,Media,angel,,,,
Anas Sefrioui,1988,real estate,new,Middle East/North Africa,1.3,Real Estate,angel,,,,
Anatoly Lomakin,1992,fertilizers,privatization,Europe,1.4,Consumer,angel,,,,
Anatoly Sedykh,1999,pipes,new,Europe,1.1,Non-consumer industrial,angel,,,,
Anders Holch Povlsen,1975,fashion,new,Europe,5.3,"Retail, Restaurant",angel,,,,
Andre Esteves,2008,banking,new,Latin America,3.1,Money Management,angel,,,,
Andrea Della Valle,1920,leather,new,Europe,1.6,Consumer,angel,,,,
Andrea Reimann-Ciardelli,1923,consumer goods,aquired,North America,1,Consumer,angel,,,,
Andreas Halvorsen,1999,hedge funds,new,Europe,2.2,Hedge funds,angel,,,,
Andreas Struengmann,1986,pharmaceuticals,new,Europe,3.5,Technology-Medical,angel,,,,
IPV Capital,,food & beverages,,Shanghai,,,vc,0,0,ipvcap.com,2016-04-27
Andreas von Bechtolsheim,1982,microchips,new,Europe,3.8,Technology-Computer,angel,,,,
Andrei Bokarev,2002,locomotive manufacturing,new,Europe,1.5,Energy,angel,,,,
Andrei Filatov,1996,infrastructure,new,Europe,1.2,Real Estate,angel,,,,
Andrei Guriev,1929,fertilizer,privatization,Europe,3.4,Consumer,angel,,,,
Andrei Klyamko,1995,steel,new,Europe,1.9,Non-consumer industrial,angel,,,,
Andrei Kosogov,1989,oil,new,Europe,1.7,Energy,angel,,,,
Andrei Kozitsyn,1935,mining,privatization,Europe,1.9,Mining and metals,angel,,,,
Andrei Kuzyaev,1991,telecom,new,Europe,1.2,Media,angel,,,,
Andrei Molchanov,1993,real estate,privatization,Europe,1.3,Constrution,angel,,,,
Andrei Rappoport,1991,investments,aquired,Europe,1.1,Diversified financial,angel,,,,
Arthur Irving,1924,oil,new,North America,5.5,Energy,angel,,,,
Andrei Skoch,1999,mining,new,Europe,8.2,Non-consumer industrial,angel,,,,
Andrew Beal,1988,real estate/banking,new,North America,10.9,Money Management,angel,,,,
Roberto Marinho,1925,media,new,Latin America,9.1,Media,angel,,,,
Andrew Cherng,1973,restaurant,new,North America,1.4,"Retail, Restaurant",angel,,,,
Andrew Forrest,2003,iron ore,new,North America,5.2,Mining and metals,angel,,,,
Andrew Gotianun,1955,real estate,new,East Asia,1,Real Estate,angel,,,,
Andrew Tan,1993,"real estate, retail",new,East Asia,4.7,Diversified financial,angel,,,,
Andrey Melnichenko,1993,banking,new,Europe,11.4,Energy,angel,,,,
Aneel Bhusri,1965,venture capitalist,new,North America,1.3,Technology-Computer,angel,,,,
Angela Bennett,1955,mining,new,North America,1,Mining and metals,angel,,,,
Angela Leong,1962,real estate,new,East Asia,2.8,Real Estate,angel,,,,
Anil Agarwal,1986,metals and mining,new,South Asia,2.9,Mining and metals,angel,,,,
Anil Ambani,1980,textiles,new,South Asia,5,Diversified financial,angel,,,,
Anita Zucker,1670,retail,privatization,North America,2.6,Non-consumer industrial,angel,,,,
Ann Walton Kroenke,1962,retail,new,North America,4.8,"Retail, Restaurant",angel,,,,
Anne Beaufour,1929,pharmaceuticals,new,Europe,1,Technology-Medical,angel,,,,
Anne Cox Chambers,1898,media,aquired,North America,15.5,Media,angel,,,,
Anne Gittinger,1901,retail,new,North America,1.4,"Retail, Restaurant",angel,,,,
Anthony Bamford,1945,"heavy equiptment (excavators, backhoes and tractors)",new,Europe,4.1,Constrution,angel,,,,
Anthony Pratt,1948,paper,new,North America,3,Consumer,angel,,,,
Anthony Pritzker,1957,hotels,aquired,North America,3.1,Real Estate,angel,,,,
"Anton Kathrein, Jr.",1919,antennas,new,Europe,1.4,Consumer,angel,,,,
Antonia Johnson,1873,trade investment,new,Europe,8.5,Diversified financial,angel,,,,
Antonio Del Valle Ruiz,1998,chemicals,aquired,Latin America,5,Non-consumer industrial,angel,,,,
Antonio Ermirio de Moraes,1919,"metals, paper, cement",new,Latin America,3.1,Diversified financial,angel,,,,
Antonio Luiz Seabra,1969,cosmetics,new,Latin America,2.1,Consumer,angel,,,,
Antti Herlin,1910,"elevators, escalators, engineering",aquired,Europe,3.3,Non-consumer industrial,angel,,,,
Aras Agalarov,1998,trade fairs,new,Europe,1.8,Real Estate,angel,,,,
Archie Aldis Emmerson,1949,"lumber, real estate",new,North America,3.1,Mining and metals,angel,,,,
Aristotelis Mistakidis,1974,mining,new,Europe,2.5,Mining and metals,angel,,,,
Arkady Rotenberg,1930,construction,"new, privitization",Europe,4,Constrution,angel,,,,
Arkady Volozh,1997,internet,new,Europe,1.7,Technology-Computer,angel,,,,
Arne Wilhelmsen,1969,cruises,new,Europe,2,"Retail, Restaurant",angel,,,,
