,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry
47,2865,John Sampson,Bay Area,angel,2020-02-06,0,0,San Francisco,CA,USA,,food & beverages
48,20834,eonCapital,Centennial,vc,2020-07-29,0,0,Centennial,CO,USA,eoncapital.com,food & beverages
2,9455,OurCrowd,Jerusalem,other,2020-08-05,0,0,Jerusalem,,ISR,ourcrowd.com,food & beverages
29,2012,Prime Ventures,Amsterdam,vc,2020-03-03,0,0,Amsterdam,,NLD,primeventures.com,food & beverages
30,8426,Usama Fayyad,New York,angel,2011-01-01,0,0,New York,NY,USA,,food & beverages
31,9099,Christian Lawless,New York,angel,2014-06-24,0,0,New York,NY,USA,,food & beverages
36,17127,Joel Auge,Toronto,angel,2012-02-28,0,0,Toronto,CAN-ON,CAN,,food & beverages
42,21337,Iron Gate Capital,Boulder,vc,2019-11-13,0,0,Boulder,CO,USA,irongatecapital.com,food & beverages
48,10758,Kent Schoen,Bay Area,angel,2011-12-01,0,0,San Francisco,CA,USA,,food & beverages
49,224,Eden Ventures,London,vc,2016-01-28,0,0,London,,GBR,edenventures.co.uk,food & beverages
0,4121,Pete Grillo,Portland,angel,2011-12-22,0,0,Portland,OH,USA,,food & beverages
2,2529,Mark Suster,Los Angeles,angel,2015-04-07,0,0,Los Angeles,CA,USA,angel.co/msuster,food & beverages
3,9265,Sreeram Veeragandham,Paradise Valley,angel,2013-07-02,0,0,Paradise Valley,AZ,USA,,food & beverages
5,1608,Alec Oxenford,Buenos Aires,angel,2019-01-07,0,0,Buenos Aires,,ARG,angel.co/alecoxenford,food & beverages
6,6603,Thibaud Elziere,Brussels,angel,2017-07-11,0,0,Brussels,,BEL,angel.co/tiboel,food & beverages
12,20841,SanDisk Ventures,Tokyo,strategic,2016-03-23,0,0,Tokyo,,JPN,sandisk.com,food & beverages
15,13029,Rally Ventures (formerly Icon Venture Partners),Bay Area,vc,2020-03-11,0,0,Menlo Park,CA,USA,rallyventures.com,food & beverages
16,4188,Investinor,Trondheim ,vc,2018-10-16,0,0,Trondheim ,,NOR,en.investinor.no,food & beverages
20,19250,Dario Giudici,Milan,angel,2013-09-30,0,0,Milan,,ITA,,food & beverages
24,17432,Burch Creative Capital,New York,vc,2017-10-18,0,0,New York,NY,USA,burchcreativecapital.com,food & beverages
32,2670,Kreos Capital,London,vc,2019-11-11,0,117,London,,GBR,kreoscapital.com,food & beverages
34,2512,Scott Belsky,New York,angel,2020-09-22,0,0,New York,NY,USA,angel.co/joe-lonsdale,food & beverages
35,6975,Columbia Partners Private Capital,Chevy Chase,vc,2020-02-20,0,0,Chevy Chase,MD,USA,columbiaptrs.com,food & beverages
39,6639,Jay Gould,New York,angel,2013-03-22,0,0,Toms River,NJ,USA,angel.co/jaygould,food & beverages
42,7555,Mark Friedgan,Chicago,angel,2012-09-11,0,0,Chicago,IL,USA,angel.co/hubrix,food & beverages
44,16679,Howzat Partners,London,vc,2020-02-05,0,0,London,,GBR,howzatpartners.com,food & beverages
47,3476,Delphi Ventures,Bay Area,vc,2019-01-09,0,0,Menlo Park,CA,USA,delphiventures.com,food & beverages
48,11686,Innovation Nest,Kraków,vc,2019-10-24,0,0,Kraków,,POL,innovationnest.co,food & beverages
0,20346,Archer Gray,New York,angel,2016-07-13,0,0,New York,NY,USA,,food & beverages
4,8438,Ty Danco,Burlington,angel,2018-01-08,0,0,Burlington,VT,USA,angel.co/tydanco,food & beverages
26,91,Palomar Ventures,Los Angeles,vc,2013-07-08,0,0,Santa Monica,CA,USA,palomarventures.com,food & beverages
28,3438,Mark Wachen,New York,angel,2014-12-22,0,0,New York,NY,USA,angel.co/markwachen,food & beverages
30,5977,Carlos Cashman,Bay Area,angel,2010-03-17,0,0,Sonoma,CA,USA,,food & beverages
34,2480,Derek Mercer,Washington D.C.,angel,2009-06-01,0,0,Baltimore,MD,USA,,food & beverages
36,4309,Sherry Coutu,Cambridge,angel,2018-06-21,0,0,Cambridge,,GBR,angel.co/scoutu,food & beverages
37,5737,Sam Lessin,Bay Area,angel,2016-02-03,0,0,San Francisco,CA,USA,angel.co/lessin,food & beverages
40,2714,Harbert Management Corporation,Birmingham,vc,2018-02-26,0,0,Birmingham,AL,USA,harbert.net,food & beverages
42,14255,InVenture,,vc,2020-06-26,0,0,Helsinki,,FIN,inventure.fi,food & beverages
46,11941,Adam Ross,Milwaukee,angel,2015-07-15,0,0,Denver,CO,USA,angel.co/adam-ross-1,food & beverages
47,13005,Brad Stroh,Bay Area,angel,2013-03-31,0,0,San Francisco,CA,USA,,food & beverages
2,12704,Raine Ventures,Bay Area,vc,2020-08-26,0,0,San Francisco,CA,USA,raine.com,food & beverages
4,8685,Alistair Croll,Montreal,angel,2012-01-26,0,0,Montreal,CAN-QC,CAN,,food & beverages
8,9760,Christian Cotichini,Vancouver,angel,2013-02-19,0,0,Vancouver,CAN-BC,CAN,,food & beverages
12,5150,John Pestana,Salt Lake City,angel,2011-05-19,0,0,Provo,UT,USA,angel.co/john-pestana,food & beverages
17,9070,Stefano Bernardi,Bay Area,angel,2011-06-13,0,0,San Francisco,CA,USA,,food & beverages
21,15277,CircleUp,Bay Area,other,2018-05-15,0,0,San Francisco,CA,USA,circleup.com,food & beverages
23,2269,Nicholas Negroponte,Boston,angel,2018-03-06,0,0,Boston,MA,USA,angel.co/nicholas-negroponte,food & beverages
25,9385,Niket Desai,Bay Area,angel,2012-06-14,0,0,San Francisco,CA,USA,,food & beverages
35,3116,Israel Cleantech Ventures,Tel Aviv,vc,2017-12-13,0,0,Tel Aviv,,ISR,icv.vc,food & beverages
47,1362,Jason Calacanis,Bay Area,angel,2020-05-20,0,0,San Francisco,CA,USA,angel.co/jason,food & beverages
48,5441,Salil Deshpande,Bay Area,angel,2017-12-19,0,0,Palo Alto,CA,USA,angel.co/salil,food & beverages
49,18290,ClearBridge Investments,New York,vc,2015-10-08,0,0,New York,NY,USA,clearbridge.com,food & beverages
4,161,MPM Capital,Boston,vc,2020-08-10,0,0,Boston,MA,USA,mpmcapital.com,food & beverages
7,10924,Frontline Ventures,Dublin,vc,2020-07-22,0,0,Dublin,,IRL,frontline.vc,food & beverages
21,1069,Christoph Janz,Bay Area,angel,2017-04-05,0,0,San Francisco,CA,USA,angel.co/chrija,food & beverages
22,9621,Pawel Chudzinski,Berlin,angel,2017-04-05,0,0,Berlin,,DEU,,food & beverages
28,7271,Ted Rheingold,Bay Area,angel,2014-12-16,0,0,San Francisco,CA,USA,angel.co/trheingold,food & beverages
31,13531,USAA,San Antonio,other,2018-08-21,0,0,San Antonio,TX,USA,usaa.com,food & beverages
33,5232,Joshua Kushner,New York,angel,2019-12-18,0,0,New York,NY,USA,angel.co/joshuakushner,food & beverages
35,2466,Primera Capital,Dubai,vc,2016-09-19,0,0,Dubai,,UAE,,food & beverages
38,1071,Peter Bordes,New York,angel,2011-12-20,0,0,New York,NY,USA,angel.co/peter-bordes,food & beverages
44,616,Origin Ventures,Chicago,vc,2020-09-24,0,0,Northbrook,IL,USA,originventures.com,food & beverages
45,3286,Guy Westlake,London,angel,2014-09-28,0,0,London,,GBR,angel.co/guywestlake,food & beverages
46,19673,Alastair Mitchell,Bay Area,angel,2016-03-21,0,0,San Francisco,CA,USA,,food & beverages
0,16023,Michigan Angel Fund,Detroit,vc,2018-10-22,0,0,Ann Arbor,MI,USA,miangelfund.com,food & beverages
4,887,Info Edge,New Delhi,strategic,2019-10-04,0,0,New Delhi,,IND,infoedge.in,food & beverages
11,24038,Albrekca LLC,Dover,vc,2014-10-16,0,0,Dover,DE,USA,,food & beverages
15,1665,Radical Investments,Dallas,vc,2018-06-05,0,0,Dallas,TX,USA,radicalinvestments.in,food & beverages
16,11477,Alexandra Chou,New York,angel,2013-11-18,0,0,New York,NY,USA,,food & beverages
17,933,Highway 12 Ventures,Boise,vc,2015-03-24,0,0,Boise,ID,USA,highway12ventures.com,food & beverages
20,11554,CHV Capital,St. Louis,vc,2015-10-02,0,0,Indianapolis,IN,USA,chvcapital.com,food & beverages
26,8995,Bill Gross,Los Angeles,angel,2012-03-08,0,0,Los Angeles,CA,USA,,food & beverages
27,24090,BOM Capital,Tilburg,vc,2018-09-12,0,0,Tilburg,,NLD,bom.nl,food & beverages
28,6766,ISAI,Paris,vc,2020-01-31,0,0,Paris,,FRA,isai.fr,food & beverages
35,2125,Stata Venture Partners,Boston,vc,2016-11-15,0,0,Boston,MA,USA,,food & beverages
40,7668,Evan Williams,Bay Area,angel,2016-10-20,0,0,San Francisco,CA,USA,angel.co/ev,food & beverages
42,8623,George Kliavkoff,New York,angel,2012-10-15,0,0,New York,NY,USA,angel.co/kliavkoff,food & beverages
46,1615,Shan Mehta,Bay Area,angel,2015-02-25,0,0,San Francisco,CA,USA,angel.co/shan-mehta,food & beverages
47,8572,Jay Baer,Bloomington,angel,2014-11-14,0,0,Bloomington,IN,USA,angel.co/jaybaer,food & beverages
48,8577,Adii Pienaar,Cape Town,angel,2013-08-01,0,0,Cape Town,,ZAF,,food & beverages
3,1968,Discovery Capital,Vancouver,vc,2019-11-25,0,0,Vancouver,CAN-BC,CAN,discoverycapital.com,food & beverages
4,7562,ITC Holding Company,Atlanta,vc,2016-01-18,0,0,West Point,GA,USA,itchold.com,food & beverages
12,4032,Kenny Van Zant,Bay Area,angel,2014-02-13,0,0,Palo Alto,CA,USA,angel.co/kennyvz,food & beverages
13,7581,Jeff Hammerbacher,Bay Area,angel,2020-04-22,0,0,San Francisco,CA,USA,angel.co/hammer,food & beverages
32,673,Innovacom,Paris,other,2020-07-10,0,0,Paris,,FRA,innovacom.com,food & beverages
44,1982,Clave Mayor,Pamplona,other,2013-12-02,0,0,Pamplona,,ESP,clavemayor.com,food & beverages
46,8589,Lucas Nealan,Bay Area,angel,2016-02-25,0,0,San Francisco,CA,USA,,food & beverages
48,3572,Andy Sack,Seattle,angel,2015-02-03,0,0,Seattle,WA,USA,angel.co/andysack,food & beverages
